all_UFs	non-NCF RoF	non-RoF EUF	IEF	NCF	avg_sen	bias
0000000000000000	False	False	True	False	0.0	0
0000000000000001	False	False	False	True	0.5	1
0000000000000011	False	False	True	False	0.75	2
0000000000000101	False	False	True	False	0.75	2
0000000000000111	False	False	False	True	1.0	3
0000000000001111	False	False	True	False	1.0	4
0000000000010001	False	False	True	False	0.75	2
0000000000010011	False	False	False	True	1.0	3
0000000000010101	False	False	False	True	1.0	3
0000000000010111	False	True	False	False	1.25	4
0000000000011111	False	False	False	True	1.25	5
0000000000110011	False	False	True	False	1.0	4
0000000000110111	False	False	False	True	1.25	5
0000000000111111	False	False	True	False	1.25	6
0000000001010101	False	False	True	False	1.0	4
0000000001010111	False	False	False	True	1.25	5
0000000001011111	False	False	True	False	1.25	6
0000000001110111	False	False	True	False	1.25	6
0000000001111111	False	False	False	True	1.25	7
0000000011111111	False	False	True	False	1.0	8
0000000100000001	False	False	True	False	0.75	2
0000000100000011	False	False	False	True	1.0	3
0000000100000101	False	False	False	True	1.0	3
0000000100000111	False	True	False	False	1.25	4
0000000100001111	False	False	False	True	1.25	5
0000000100010001	False	False	False	True	1.0	3
0000000100010011	False	True	False	False	1.25	4
0000000100010101	False	True	False	False	1.25	4
0000000100010111	False	True	False	False	1.5	5
0000000100011111	False	True	False	False	1.5	6
0000000100110011	False	False	False	True	1.25	5
0000000100110111	False	True	False	False	1.5	6
0000000100111111	False	True	False	False	1.5	7
0000000101010101	False	False	False	True	1.25	5
0000000101010111	False	True	False	False	1.5	6
0000000101011111	False	True	False	False	1.5	7
0000000101110111	False	True	False	False	1.5	7
0000000101111111	False	True	False	False	1.5	8
0000000111111111	False	False	False	True	1.25	9
0000001100000011	False	False	True	False	1.0	4
0000001100000111	False	False	False	True	1.25	5
0000001100001111	False	False	True	False	1.25	6
0000001100010011	False	False	False	True	1.25	5
0000001100010111	False	True	False	False	1.5	6
0000001100011111	False	True	False	False	1.5	7
0000001100110011	False	False	True	False	1.25	6
